smiles,charge
COc1c2ccoc2cc2oc(=O)ccc12,"[-0.1313618459, -0.1924554603, 0.0728776525, -0.0168949555, -0.0598342966, 0.0924414533, -0.3527067648, -0.081473816, -0.122971468, 0.0639425406, -0.183923494, 0.3168727957, -0.3038065083, -0.136496426, -0.0838043256, -0.0498860678, 0.1443767608, 0.1377622903, 0.1377645549, 0.1502236869, 0.146403614, 0.1496749587, 0.1334103862, 0.1698647349]"
COc1c(O)cc2c(c1O)[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1OC2=O,"[-0.1286279659, -0.3782073792, 0.0530566256, 0.1303950604, -0.2937073369, -0.0825491893, -0.0261192564, -0.1476304012, -0.0468915084, -0.4362876746, -0.0832776224, -0.4068694141, -0.0279800176, -0.1127606503, -0.5512582226, 0.035260905, -0.4293459448, 0.0335051378, -0.4341219039, -0.0020584488, -0.4083228133, 0.1727151146, -0.0896114142, 0.1383868738, 0.1329560214, 0.133761164, 0.4882760084, 0.1532309026, 0.4582015962, 0.1298146435, 0.1102945707, 0.1185677028, 0.1245628421, 0.3966845801, 0.1542748415, 0.4276082216, 0.1496388781, 0.4210087962, 0.1234266775]"
COc1ccc2c(c1)O[C@@H](O)C(=O)N2O,"[-0.150666164, -0.281339814, 0.0965430467, -0.1056301177, -0.1102365988, 0.0773100138, -0.0346527412, -0.1820636786, -0.2373430568, 0.1610153062, -0.4776925955, 0.1519713239, -0.232295822, -0.2245586173, -0.2900942753, 0.1357975621, 0.1170229163, 0.1169666277, 0.1453925246, 0.1273301249, 0.1346484876, 0.1767014279, 0.4255424422, 0.4603316774]"
N[C@@H](CNC(=O)C(=O)O)C(=O)O,"[-0.7802848089, 0.0176472103, -0.0661585668, -0.5344838897, 0.3028830625, -0.3826589698, 0.3292803309, -0.3451422663, -0.4516315116, 0.3234318783, -0.3451537457, -0.4752939356, 0.3464092451, 0.3567979002, 0.1483521804, 0.1264776186, 0.1407483858, 0.3959047431, 0.4531735466, 0.4397015925]"
O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,"[-0.2459986604, 0.2030620718, -0.1804488446, 0.1541367875, -0.0179441557, -0.1184660372, -0.0774751934, -0.1187855367, -0.1224244244, -0.1969010736, -0.1355219703, 0.1760411688, -0.1158796469, -0.0747323569, -0.0535782942, -0.115132259, -0.1047984475, -0.1221463093, -0.1382479628, -0.0142725991, -0.3335870813, 0.1572717989, 0.1208639404, 0.1358467744, 0.1402325231, 0.1575062516, 0.1915411534, 0.1385053927, 0.142997574, 0.1362238202, 0.1364795559, 0.1408072453, 0.1548247954]"
O=C1CCO1,"[-0.3355105672, 0.2827685586, -0.1597807844, -0.0162832974, -0.3668094952, 0.1539829407, 0.1496375242, 0.1388289756, 0.1531661451]"
CNCCc1ccccn1,"[-0.1778752603, -0.6349936956, -0.0875945634, -0.180908175, 0.1218044004, -0.1202280053, -0.0893655875, -0.1157116011, -0.1172770575, -0.3280334149, 0.1164405085, 0.0994213347, 0.1219131646, 0.3425839931, 0.1274975472, 0.106861877, 0.1215314033, 0.1261260751, 0.1267359524, 0.1360411307, 0.1468242068, 0.158205767]"
C/N=C(\NC)NCc1ccccc1,"[-0.1765781171, -0.5429835028, 0.3796137496, -0.5858168736, -0.2096971668, -0.5668770948, -0.0643905357, -0.0252497575, -0.1154024779, -0.1170350837, -0.1142275831, -0.122626625, -0.1710869924, 0.1082592993, 0.1382880097, 0.1382873367, 0.3728432625, 0.1504758829, 0.0996196375, 0.0996187937, 0.3803316925, 0.1241985766, 0.1241968271, 0.1269895888, 0.121251012, 0.1503870808, 0.1566445352, 0.1409665257]"
CC(C)NC[C@@H](O)COc1ccc(CCOCC2CC2)cc1,"[-0.2942732505, -0.0034002893, -0.2965725496, -0.6213404842, -0.0933985972, 0.0120890498, -0.5329222704, -0.0784348768, -0.2833096021, 0.0739839847, -0.1396503108, -0.1293197128, -0.010246407, -0.167126498, -0.0813743532, -0.3422843413, -0.08165339, -0.0928093344, -0.2191480991, -0.1962175666, -0.1488165605, -0.2333001039, 0.1040419955, 0.1094945452, 0.1032675469, 0.1003878841, 0.1096687454, 0.1046873713, 0.1034437856, 0.3455262963, 0.1293161317, 0.1020966473, 0.1458869272, 0.400418597, 0.1182263474, 0.1138234355, 0.1485087179, 0.1158708245, 0.131558502, 0.1317072905, 0.1449927976, 0.1451259206, 0.1147472419, 0.1159092355, 0.1225447767, 0.091326429, 0.1193196, 0.0946038773, 0.1227594831, 0.1499144072, 0.1203502031]"
C[C@@H](C[N+](C)(C)C)OC(N)=O,"[-0.2924397991, 0.0098001022, -0.0759179465, -0.3260427856, -0.1342265743, -0.1627156179, -0.1312283605, -0.2399856974, 0.399849042, -0.7629506471, -0.378823991, 0.1361489757, 0.1406239799, 0.138229246, 0.1364421825, 0.1513392279, 0.1666505603, 0.1605698389, 0.159465039, 0.1653479093, 0.1538769712, 0.1487795096, 0.162821979, 0.1592007902, 0.1639455687, 0.1619783241, 0.3635729907, 0.4256891821]"
COc1ccc(CCNC[C@@H](O)COc2cccc(C)c2)cc1OC,"[-0.1616135282, -0.2946074262, 0.0894363056, -0.1331946111, -0.0827003399, -0.0233636312, -0.1782851241, -0.0889510213, -0.6305459871, -0.089423764, 0.014807431, -0.5276067097, -0.0746863218, -0.2559263987, 0.1045084146, -0.1546240425, -0.0978203278, -0.1644899016, -0.0738254768, -0.2860478974, -0.1869791734, -0.1628042153, -0.1026587339, -0.242945283, -0.1487085557, 0.1201829891, 0.1214354211, 0.1214248544, 0.1498465018, 0.1265160181, 0.1236206803, 0.1281975191, 0.154823538, 0.1385182092, 0.3471931533, 0.1307081466, 0.1066316263, 0.1490571034, 0.4024000461, 0.1221578634, 0.1176640377, 0.1286932833, 0.1232241342, 0.1356633605, 0.1115894834, 0.1190203272, 0.1193107329, 0.1348438835, 0.1445568528, 0.1283186723, 0.1242604937, 0.1231973872]"
CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,"[-0.3117346586, -0.0215804709, -0.2968403063, -0.2968373022, -0.0724854464, -0.1582570542, 0.0732786477, -0.5177164232, 0.0064800666, 0.0010614075, -0.2887151069, -0.2887132122, -0.2958434942, -0.0699456687, -0.0189221116, -0.4602035014, 0.0853104728, 0.1086056458, 0.1086070881, 0.1007441262, 0.1036358207, 0.096349516, 0.1007422684, 0.0963489795, 0.1036342181, 0.1420570125, 0.3422982112, 0.104131579, 0.1113605563, 0.1082789284, 0.104130948, 0.1082796948, 0.1113606207, 0.1367164556, 0.1367160554, 0.1040412156, 0.1652867825, 0.4383384395]"
C[C@@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,"[-0.3131971897, 0.1109986395, -0.5327130683, -0.1663847933, 0.6313155412, -0.4420795342, -0.4312475247, -0.0307002286, -0.0805882212, -0.1142936821, 0.1505980297, -0.1094709933, -0.0876881499, -0.1417449303, 0.3429552298, -0.2902440742, -0.4733489911, 0.1277428455, -0.1492391553, -0.0696227956, -0.021905029, 0.1678173847, -0.3689393506, -0.1116190148, 0.3943902869, -0.1449580458, -0.1454405842, -0.1571365612, -0.0538639567, 0.1245500384, 0.1122403169, 0.1187387087, 0.3966636662, 0.1392979926, 0.1465451118, 0.1488232774, 0.1356882817, 0.1765712846, 0.1458812928, 0.4182667904, 0.1325419156, 0.1398887236, 0.1749105159]"
CN1CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,"[-0.1594049288, -0.392791934, -0.0794857493, -0.1881908606, -0.048527212, -0.0900776489, 0.1267945831, 0.0746226392, -0.2162225742, -0.0273059221, 0.1708906928, -0.1150641392, -0.1742460321, 0.2267468089, -0.3487294983, -0.2280103251, -0.0449609453, -0.0688187233, -0.0841649297, 0.1096968109, -0.0089978718, -0.1172475781, -0.0262608626, -0.3894056105, -0.1109799663, -0.0098874097, -0.3735369039, 0.1372974584, 0.1263184005, 0.1188035906, 0.1426709283, 0.1226593525, 0.1340642966, 0.1263895609, 0.1219052419, 0.1399725974, 0.3973006097, 0.1703678192, 0.1397197076, 0.1378538838, 0.1250686923, 0.1557970436, 0.140023637, 0.1573532707]"
CNCCCCOc1ccccc1Cc1ccccc1,"[-0.1805056486, -0.6389874926, -0.0862075606, -0.1985469472, -0.2037374465, -0.0739157864, -0.2917182544, 0.0649323545, -0.1064332735, -0.1297040698, -0.1144495079, -0.1330497804, -0.1261103676, -0.2007293314, -0.015139974, -0.1281002833, -0.1097531966, -0.1260406301, -0.1526286852, -0.1192495752, 0.1163915134, 0.096155545, 0.1194654509, 0.3431211908, 0.123610678, 0.1013137948, 0.1066432662, 0.1110964517, 0.1131544922, 0.1111053731, 0.1249022151, 0.1258765208, 0.1324293513, 0.1199107731, 0.145662835, 0.1537009564, 0.1221060447, 0.1228256551, 0.1260950687, 0.1249977296, 0.1398142096, 0.1492952595, 0.1404010816]"
O[C@](CCN1CCCCC1)(c1ccccc1)[C@@H]1C[C@@H]2C=C[C@H]1C2,"[-0.7290782618, 0.0467270531, -0.1877099505, -0.0871954188, -0.4137807294, -0.0789486146, -0.1975512777, -0.1807295539, -0.1893691155, -0.1283838751, -0.0232285747, -0.1030092229, -0.1157919404, -0.1221474677, -0.1475145909, -0.2334992275, -0.1034434577, -0.1605121469, -0.0911564877, -0.155347794, -0.0807394991, -0.078427536, -0.1711713215, 0.3204755506, 0.1228101841, 0.1151511373, 0.1389252365, 0.0993983536, 0.1237807369, 0.1053278636, 0.1001047571, 0.1137772049, 0.1297979853, 0.1133649649, 0.0912864094, 0.1077465505, 0.0926873784, 0.0811879525, 0.1403829937, 0.1234917411, 0.1399606923, 0.1505146853, 0.1627325004, 0.1462000456, 0.1022334429, 0.1179628283, 0.1163233684, 0.1475469602, 0.1531278559, 0.132590488, 0.1239982255, 0.1191209182]"
COCCNCCOC,"[-0.1632754368, -0.3460365687, -0.0760112156, -0.0829272194, -0.6282395933, -0.0829248672, -0.0760115222, -0.3460375363, -0.1632773804, 0.1267732477, 0.109698957, 0.108404836, 0.1104525008, 0.1152069229, 0.1309628597, 0.1088964514, 0.3439490242, 0.1309608355, 0.1088960665, 0.1104537963, 0.1152064623, 0.1267723409, 0.1084061085, 0.1097009302]"
N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1,"[-0.3296899125, 0.2188023455, 0.0125943063, -0.0736537595, -0.0263630583, -0.083506028, -0.0955720416, 0.1157389701, -0.4899863331, -0.0907416303, -0.4546880974, -0.1155957104, 0.2966686483, -0.389665826, -0.5588608063, -0.0533025468, -0.0252049383, -0.1099193126, -0.1139819835, -0.1084179756, -0.1074650032, -0.1952025781, 0.144487202, 0.1332050876, 0.1389312631, 0.4203204615, 0.4525513414, 0.1560342702, 0.3618520227, 0.1373925014, 0.1375443722, 0.1316732491, 0.1216175923, 0.1546699033, 0.161214256, 0.1265197484]"
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,"[-0.3852098134, 0.2859048703, -0.4820717307, 0.2786522361, -0.341980892, -0.074860804, -0.0812561319, 0.0609410073, -0.4649905335, 0.0638535353, -0.1301156121, -0.1016810212, -0.1279647608, -0.1478614699, -0.1013231807, 0.0203114919, -0.0744092761, 0.0580047998, -0.466559893, 0.0723280982, -0.1335351584, -0.0961455043, -0.1316398486, -0.1546665799, -0.0759126849, 0.4172000424, 0.168816352, 0.4253294062, 0.1321760798, 0.1366653146, 0.1378964098, 0.1523954061, 0.1741220099, 0.4287887026, 0.1340316159, 0.1387952557, 0.1351350423, 0.1508372193]"
CN1C(=O)C(c2c[nH]c3ccccc23)=C(c2c[nH]c3ccccc23)C1=O,"[-0.1315633655, -0.2700433609, 0.2953220191, -0.3877570806, -0.0553856039, -0.2005973768, 0.1642659772, -0.523814704, 0.0741134781, -0.116195192, -0.0867633716, -0.1289403958, -0.1437297812, -0.1904065773, 0.0175405544, -0.0594085726, 0.0573544007, -0.4894290257, 0.0643597764, -0.1347208668, -0.100538899, -0.1350483632, -0.1656577664, -0.1102724856, 0.0029284365, -0.1662970201, 0.1561875201, 0.1419142605, 0.1418986717, 0.3572521422, 0.4294842443, 0.131986972, 0.1358304902, 0.132218107, 0.1512406683, 0.1747628704, 0.4205809197, 0.1301395007, 0.1368678453, 0.1330306258, 0.1472903282]"
O=C1NC(=O)C(c2cn(CC[C@@H]3CCCCN3)c3ccccc23)=C1c1c[nH]c2ccccc12,"[-0.4013086425, 0.2773338251, -0.4843334042, 0.2576614879, -0.3791712616, -0.1231799095, -0.0546500069, 0.0385423436, -0.3153505763, -0.0413164827, -0.1734677663, -0.0377925522, -0.2222494333, -0.1807003327, -0.1940045448, -0.0780260932, -0.4819308236, 0.0605008043, -0.1490701699, -0.0988945203, -0.1448031525, -0.1837055076, -0.1075186542, 0.0110637788, -0.0824800755, 0.0482047884, -0.4742095276, 0.0687847478, -0.137421739, -0.0990895442, -0.138276021, -0.1758652401, -0.0990060684, 0.4151613603, 0.1697093288, 0.1387023248, 0.1388016078, 0.1475287414, 0.1625906597, 0.1522025882, 0.0871121734, 0.1087961026, 0.1220346135, 0.1145114173, 0.1117729789, 0.1194321241, 0.1373385529, 0.1143414386, 0.3870831426, 0.1243586791, 0.1364850092, 0.1262653454, 0.142634908, 0.1696027421, 0.425641934, 0.1317349985, 0.1364340463, 0.1309904305, 0.144463026]"
O=C1NC(=O)C(c2cn(CCCN3CCNCC3)c3ccccc23)=C1c1c[nH]c2ccccc12,"[-0.3965394905, 0.2802243661, -0.4830007914, 0.2621516337, -0.3471043248, -0.1123795933, -0.0062651019, 0.0404913492, -0.3105916097, -0.0481753488, -0.1742381388, -0.0705413596, -0.4134764688, -0.0778818497, -0.0805397076, -0.5816771241, -0.0606930504, -0.1074543176, 0.0661806109, -0.1416622853, -0.0974792578, -0.1389030032, -0.1714613791, -0.0958954753, 0.0200442788, -0.0771226284, 0.0562995821, -0.470208255, 0.0660573066, -0.1341612834, -0.1023689335, -0.1346118006, -0.167268995, -0.1014911975, 0.4166479327, 0.1736730599, 0.1385124939, 0.1377421791, 0.1388252979, 0.1463815195, 0.1274574969, 0.1118930335, 0.1205965463, 0.1109793792, 0.1200294688, 0.1115844468, 0.3617092301, 0.0882847251, 0.1235547399, 0.1062798931, 0.0922806622, 0.1286672419, 0.1371448128, 0.1301857618, 0.1460759752, 0.1703077458, 0.4259753933, 0.1318980177, 0.1335705689, 0.1345410625, 0.1469449585]"
CC(C)NC[C@@H](O)COc1ccc(COCCOC(C)C)cc1,"[-0.294308633, -0.003390831, -0.2965681313, -0.6215549841, -0.0934299437, 0.0121638733, -0.5325798421, -0.0784842125, -0.276997023, 0.0820227021, -0.1252128518, -0.1290605711, -0.0122917896, -0.0459692639, -0.2930385326, -0.0714588693, -0.0745925025, -0.3260997736, 0.0080074187, -0.3046067446, -0.2938574603, -0.16424539, -0.223805147, 0.104029083, 0.1093280614, 0.103246999, 0.1004439465, 0.1095693431, 0.1046655124, 0.1035388861, 0.3454856769, 0.129342442, 0.1021932107, 0.145603997, 0.4008052177, 0.1183086143, 0.1139039836, 0.1672284219, 0.1144273955, 0.1282880959, 0.1281426492, 0.1209410641, 0.1214785138, 0.127131666, 0.1221938662, 0.1148545939, 0.1081135673, 0.1120330213, 0.1082116663, 0.1103375089, 0.1098002898, 0.1081251457, 0.146241497, 0.1213445667]"
Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,"[-0.4900417031, 0.1027327164, 0.0307785063, -0.0167666905, -0.0831041104, 0.0014785723, -0.0848706585, -0.1586367046, -0.1149061938, 0.1039811224, -0.0405568981, -0.143468866, 0.0390568708, 0.0804768575, -0.1791333588, -0.1153546738, -0.0769642254, 0.0754477348, -0.397269458, 0.4196750853, 0.1475277048, 0.1575918324, 0.1448273252, 0.1313370994, 0.4661621135]"
[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-],"[-0.4920031145, 0.087339802, 0.0061634042, -0.0806656529, -0.0712965625, -0.0479768224, -0.239604248, -0.3935434783, -0.0705899179, 0.088213749, -0.0604689277, -0.175487695, 0.0239844467, 0.0185468211, -0.2359293971, -0.2965713621, -0.2674631869, 0.0658690707, -0.2916633503, 0.1453707621, 0.0793026973, 0.1198129299, 0.0886600326]"
O=C1c2cc(Cl)ccc2N=C2N(c3ccccc3)CC[C@@]12O,"[-0.265307341, 0.1478895592, -0.0270935175, -0.1202982104, 0.0284816515, 0.0397401955, -0.1419167315, -0.1714200234, 0.0639858888, -0.3432578658, 0.2648935624, -0.3161239041, 0.1067466883, -0.1239425332, -0.1071955639, -0.1131276103, -0.1365153988, -0.2107248115, -0.0494666789, -0.1877295859, 0.0310982707, -0.3918504539, 0.1449478446, 0.1390073573, 0.1491165004, 0.1267020707, 0.1233135522, 0.1368738001, 0.1528342537, 0.1374231716, 0.128885256, 0.1234396992, 0.1009713786, 0.1262144044, 0.4334051247]"
CC=C(C)C=C1CN=C2N(c3ccccc3)CC[C@@]2(O)C1=O,"[-0.2915185482, -0.1457175976, -0.0407446932, -0.2225093721, -0.1193435836, -0.0461639208, -0.0812791786, -0.388154864, 0.2524988311, -0.3098625544, 0.0998183312, -0.1525181203, -0.1197763548, -0.1461537342, -0.218578198, -0.2239568436, -0.0431629349, -0.1927257473, -0.0631149344, -0.3959626828, 0.0663135772, -0.2802575817, 0.1107253616, 0.1121109533, 0.1105222671, 0.1212048668, 0.144073419, 0.2683197038, 0.2731419645, 0.1353467615, 0.1334144229, 0.1330953049, 0.1178381124, 0.1158484671, 0.1094277003, 0.1286905605, 0.136732999, 0.1336239014, 0.128872237, 0.0961975137, 0.1213496045, 0.4323345837]"
Cc1cccc([C@@]23SCCN2C(=O)c2ccccc23)c1,"[-0.2879268253, -0.030883562, -0.0764352766, -0.1005041167, -0.0196367492, -0.0987725632, -0.0022454438, -0.0434289258, -0.1664181597, -0.1974500927, -0.3748422734, 0.190503754, -0.3916194143, -0.0098983222, -0.0945895591, -0.0968812596, -0.0663702389, -0.1888986859, -0.0437981176, -0.185642417, 0.1088818783, 0.1132087481, 0.11293709, 0.1338941277, 0.1404628859, 0.4884969125, 0.118347527, 0.1268526584, 0.0957722548, 0.1225368109, 0.1307819152, 0.1598317703, 0.1723608748, 0.1330686578, 0.1283041377]"
COC(=O)[C@@H]1CS[C@@]2(c3ccccc3)c3ccccc3C(=O)N12,"[-0.150908408, -0.288142592, 0.1643124005, -0.4102643088, 0.0264097494, -0.2135693847, 0.0517524749, 0.140609163, -0.0561166166, 0.0422181933, -0.1243107864, -0.1251758689, -0.1290370378, -0.1867807441, -0.0901756259, -0.1067438912, -0.1296081288, -0.1124546551, -0.1178120484, -0.1339389596, 0.2109109158, -0.3173705624, -0.2278950091, 0.140903522, 0.1385364726, 0.1330052278, 0.170126395, 0.111355921, 0.1341530542, 0.3275488727, 0.1339514234, 0.1458087047, 0.1562607851, 0.1375247258, 0.1188775634, 0.1314657033, 0.1462756464, 0.1582977134]"
N=C(N)N1CCC[C@@H](C(=O)NC[C@H]2CCCN2C(=O)[C@H](CO)NS(=O)(=O)c2ccc3ccccc3c2)C1,"[-0.7282440463, 0.3830536728, -0.7780476325, -0.350267179, -0.0704185428, -0.2012305337, -0.1633434401, -0.1577036177, 0.2437815152, -0.4396143827, -0.5791025189, -0.0766499559, 0.1032337056, -0.1909379212, -0.179767186, -0.068998842, -0.2765119182, 0.3150745482, -0.3475898278, 0.0239583033, -0.0585663719, -0.5332776366, -0.563257685, 0.6957051782, -0.4693389028, -0.438315226, -0.0481920841, -0.1106022363, -0.1100863444, -0.0608674667, -0.1095737454, -0.1134975732, -0.1210347956, -0.1400675855, -0.0386067338, -0.2434480771, -0.0944676242, 0.3527445028, 0.3918170186, 0.3704096505, 0.1185950918, 0.1185171703, 0.1097127008, 0.1142153616, 0.1231303124, 0.1294728148, 0.1367428076, 0.3796682617, 0.1809873042, 0.1877156271, 0.183359798, 0.1016283966, 0.122085179, 0.1719590144, 0.1629853819, 0.1287541977, 0.1341842739, 0.1603261148, 0.1267989322, 0.1456266045, 0.4115419967, 0.3772687062, 0.1375449604, 0.1204676408, 0.1330349243, 0.1351749798, 0.1406758172, 0.153385418, 0.1288579097, 0.102270046, 0.1051617936]"
CC1(C)CCC(C)(C)c2cc([C@H](O)C(=O)Nc3ccc(C(=O)O)cc3F)ccc21,"[-0.271600552, -0.0457866399, -0.2877772669, -0.1951775019, -0.203436176, -0.0292448279, -0.2908744602, -0.2883968644, -0.0415289068, -0.1544908783, 0.0517462554, 0.0418477427, -0.4904908546, 0.3266639197, -0.2510313733, -0.5159923211, 0.0341695848, -0.1295700239, -0.1132512582, -0.0345974737, 0.3093396535, -0.3790547049, -0.5204186816, -0.1166405287, -0.0142298694, -0.0025769981, -0.1350058338, -0.1805187195, 0.0281743611, 0.1248785676, 0.1134791794, 0.113942393, 0.112849898, 0.1095751786, 0.1139227143, 0.1123634027, 0.1152346017, 0.1142063541, 0.1099919002, 0.1058711302, 0.1080637125, 0.1066729061, 0.1094729361, 0.1061322525, 0.1085834391, 0.1156774962, 0.1700561425, 0.3773943706, 0.3452637414, 0.1549904152, 0.133972438, 0.373789847, 0.159672471, 0.1273156222, 0.1563780875]"
C[C@H](N=O)c1ccc([C@H](C)N=O)cc1,"[-0.2932615491, 0.0156667171, -0.1103144192, -0.1090368147, -0.0422591919, -0.1069268144, -0.1194514479, 0.0026247893, 0.0263648961, -0.2835518971, -0.1030214659, -0.0891530963, -0.1331598164, -0.1854585804, 0.1078021028, 0.1146163832, 0.1126367131, 0.1508560715, 0.124498722, 0.1274863289, 0.1517750467, 0.1151841674, 0.1161611765, 0.1210388755, 0.1577537209, 0.1311293823]"
COC(=O)CN(N=O)c1ccc(N(CC(=O)OC)N=O)cc1,"[-0.1424737021, -0.2647155528, 0.2085930563, -0.0348669208, -0.0523654834, -0.2124774571, -0.1826206564, 0.1208197512, 0.0624432058, -0.1241538673, -0.1171986916, 0.0696840271, -0.1987318975, -0.0512172712, 0.1642209097, -0.3209077268, -0.2917728244, -0.1478773553, -0.0077666094, -0.1960765578, -0.1978997585, -0.3088793799, 0.1453489618, 0.1264861498, 0.1264854061, 0.1534271222, 0.1534275276, 0.1390213585, 0.1225589402, 0.1405603046, 0.1405606925, 0.1459398087, 0.1199468511, 0.1199456655, 0.4998536478, 0.0926783257]"
Cc1cc2c(CC[C@@H](CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1,"[-0.2842969996, 0.1396295336, -0.1670350546, -0.0572796593, 4.20357e-05, -0.1713104798, -0.1978969001, 0.017042277, -0.1015414418, -0.654969174, 0.0828147892, -0.3037379507, -0.2927194844, -0.2935130244, -0.2605976644, 0.3127793516, -0.3708944775, -0.0380770506, -0.1008938089, -0.1223587269, -0.1055571665, -0.1102321383, -0.1489174874, -0.1248837044, -0.1268670097, -0.1378880911, -0.0165586217, -0.5920963218, 0.110609902, 0.1191378585, 0.1185250043, 0.1419070636, 0.1568957419, 0.1358105906, 0.1470516409, 0.1451919972, 0.1321051168, 0.1325272818, 0.1087677752, 0.3194035667, 0.1060711664, 0.1018632958, 0.1039765586, 0.1118892848, 0.1042522969, 0.1101747623, 0.102000906, 0.1067875035, 0.1075184259, 0.1341046959, 0.1172930916, 0.1557292552, 0.1599688576, 0.1353243677, 0.1304956517, 0.1383448931, 0.1536426801, 0.3804432182]"
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,"[-0.7590719509, 0.1122181607, -0.1299504635, 0.1205012091, -0.3911708585, 0.2056851636, -0.3428648828, 0.1575853856, -0.462407254, 0.1096966295, -0.1034415085, -0.0569953141, -0.1534380507, -0.1450857735, -0.0728223672, -0.125633427, -0.1166355455, -0.155027547, 0.1349349432, -0.7341761055, 0.3960831029, 0.383906115, 0.136600533, 0.14087188, 0.3951284934, 0.1371219921, 0.136134249, 0.1190842134, 0.1451689338, 0.1262900515, 0.4012353858, 0.3904746069]"
Brc1cccc(Nc2ncnc3cc4nc[nH]c4cc23)c1,"[-0.1177340748, -0.0121614225, -0.0191882986, -0.0350324155, -0.0999551863, -0.0674865403, -0.4389829648, 0.1935279885, -0.3264421994, 0.2074925829, -0.3964610397, 0.1217782658, -0.0828135925, 0.1388368135, -0.3217898526, 0.2032798447, -0.5699534691, -0.0223150663, -0.1218464343, 0.00428598, -0.1648702868, 0.1507583438, 0.1420891299, 0.1155509543, 0.3833690784, 0.1459433919, 0.1466514459, 0.1451254783, 0.4296739022, 0.1283180513, 0.1403515923]"
CC1(C)N=C(N)N=C(N)N1OCCCOc1ccc(Br)cc1,"[-0.2866265314, 0.2089328682, -0.290893383, -0.4387265683, 0.4013300527, -0.7698029401, -0.3605091401, 0.1431225948, -0.7206315602, -0.2143526858, -0.0829777479, -0.055422843, -0.1920147957, -0.0633966233, -0.2662693293, 0.0951033729, -0.1116775322, -0.1142020184, -0.0241912383, -0.0439641186, -0.1379843617, -0.2007992667, 0.1178122106, 0.1157414689, 0.1065409071, 0.1242954034, 0.106763031, 0.1192870007, 0.3740628886, 0.3716302412, 0.3961549894, 0.390003044, 0.1323277655, 0.1307166015, 0.1259917387, 0.1277946406, 0.1190325845, 0.1186305171, 0.1243002856, 0.1332094823, 0.1609390347, 0.1307199604]"
CC[N+](C)(C)Cc1ccccc1Br,"[-0.2877074234, -0.0602030041, -0.3584632604, -0.2201041961, -0.220100142, -0.0526755923, -0.0635218875, -0.0896849781, -0.1106434694, -0.0671479287, 0.0459432765, -0.1988356869, 0.1245599342, 0.1429310653, 0.1238054563, 0.1238050985, 0.1515572928, 0.1515567694, 0.1581883743, 0.1210881521, 0.157876384, 0.1581905504, 0.1578758555, 0.1210957283, 0.1572093615, 0.1572093635, 0.1435595186, 0.1403090061, 0.1846777453, 0.2076486364]"
C[C@H](Cc1ccc(OCC(=O)O)cc1)NC[C@@H](O)c1cccc(Cl)c1,"[-0.3252059573, 0.000110021, -0.1776631491, -0.027496544, -0.1496958744, -0.1151238711, 0.0974920176, -0.2636225515, -0.0684842449, 0.3124398823, -0.3442940747, -0.4867568548, -0.15083619, -0.1586646678, -0.6066954011, -0.0985270786, 0.0285474293, -0.5129021429, -0.0202280664, -0.0982864468, -0.0600525382, -0.1462470507, -0.0990791212, -0.0733652057, -0.1267654441, 0.1028038111, 0.1219329034, 0.1257060896, 0.1069609056, 0.1213574119, 0.1280737254, 0.1354958496, 0.1312030528, 0.1510532173, 0.1531717961, 0.4043445375, 0.1595238705, 0.1370354319, 0.3522229216, 0.125897049, 0.1055390735, 0.155280354, 0.4101632858, 0.1398892013, 0.1352675523, 0.1258915367, 0.1425895483]"
CN1CCC(c2c[nH]c3ccc(O)cc23)CC1,"[-0.1670447153, -0.4274072552, -0.087053242, -0.1964284541, -0.1026425858, -0.1765127715, -0.0134940109, -0.5105350892, 0.0699743957, -0.1326314993, -0.1104545792, 0.0904266892, -0.5162092134, -0.1809793962, -0.1204276187, -0.1072098088, -0.077739902, 0.129070841, 0.121011144, 0.1054851915, 0.1269212794, 0.1078850751, 0.1016688497, 0.1166969009, 0.1281227975, 0.14434369, 0.4081339674, 0.1304795537, 0.142547001, 0.4198769674, 0.1491298069, 0.1067004018, 0.1252497953, 0.1020918403, 0.1009539539]"
